,IDU,i_mutli_crit
399,31033AA0087,0.14075428892287947
400,31033AA0075,0.1420335521961175
401,31033AA0076,0.142219754456749
402,31033AA0074,0.14435165746770978
403,31033AA0080,0.1425760446906127
404,31033AA0079,0.14263797209881438
405,31033AA0083,0.14474771980299317
406,31033AA0098,0.14224298853112508
407,31033AA0100,0.14108870787534897
408,31033AA0103,0.1448442665235668
409,31033AA0121,0.1460957646300314
410,31033AA0110,0.14185590956991606
411,31033AA0111,0.14228714690005725
412,31033AA0112,0.1412680228326954
413,31033AA0109,0.14248674842000272
414,31033AA0120,0.1427536144407778
415,31033AA0077,0.1537044056677897
416,31033AA0117,0.14100781555930433
417,31033AA0118,0.14565185093856683
418,31033AA0115,0.14136892677886817
419,31033AA0102,0.14427458835672047
420,31033AA0072,0.14328214187441843
421,31033AA0005,0.14718896283109045
422,31033AA0040,0.14003665532461387
423,31033AA0024,0.1656859692862583
424,31033AA0104,0.14459020720711432
425,31033AA0105,0.14783417250565561
426,31033AA0039,0.14540092437493596
427,31033AA0041,0.144577035076095
428,31033AA0030,0.14086352413406525
429,31033AA0029,0.14290599217594271
430,31033AA0032,0.14218355867500765
431,31033AA0044,0.13993851422604583
432,31033AA0042,0.1411164264411459
433,31033AA0146,0.14011307259968478
434,31033AA0050,0.14684961578677355
435,31033AA0052,0.14653968383404678
436,31033AA0133,0.15199643772298657
437,31033AA0049,0.1410094468242825
438,31033AA0047,0.1454255260151496
439,31033AA0132,0.1436560462101849
440,31033AA0143,0.14901603642689362
441,31033AA0140,0.14641112871300854
442,31033AA0141,0.14744173896681645
443,31033AA0145,0.14821716926269568
444,31033AA0045,0.15500268410828585
445,31033AA0028,0.1488172011569759
446,31033AA0148,0.14150171526488603
447,31033AA0149,0.14435434800133892
448,31033AA0137,0.1500323903731938
449,31033AA0151,0.14396428093315944
450,31033AA0150,0.14330357094921012
451,31033AA0224,0.15006015241493356
452,31033AA0147,0.14772174330571605
453,31033AA0158,0.1543784506063771
454,31033AA0136,0.17393618389417603
455,31033AB0065,0.1470018544911593
456,31033AB0005,0.14011667122406365
